Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,92.94,94.47,90.53,93.16,93.34,10184519
2020-02-06,91.68,93.33,89.8,90.96,90.88,14182561
2020-02-07,90.86,93.16,89.9,91.42,91.34,11113848
2020-02-08,87.26,88.18,86.03,87.91,87.97,9817518
2020-02-09,85.74,87.52,83.66,85.64,85.51,12658568
2020-02-10,86.5,87.19,85.65,86.05,85.99,5037746
2020-02-11,88.12,90.03,86.8,87.39,87.44,1081171
2020-02-12,87.55,89.94,85.05,87.76,87.7,11862055
2020-02-13,88.1,90.24,87.09,87.62,87.6,3183448
2020-02-14,87.15,88.65,85.63,87.17,87.23,2189138
2020-02-15,84.58,86.02,83.08,84.66,84.69,3249476
2020-02-16,83.88,84.31,82.24,83.51,83.53,3759374
2020-02-17,83.07,85.03,81.17,82.8,82.78,14963591
2020-02-18,83.95,85.37,83.31,84.62,84.65,10840850
2020-02-19,85.9,87.22,83.82,85.27,85.26,4463894
2020-02-20,82.9,83.67,81.36,82.33,82.37,1783258
2020-02-21,82.67,83.34,81.0,82.93,82.89,2896999
2020-02-22,82.52,84.11,81.94,82.36,82.34,14803487
2020-02-23,81.51,81.72,79.88,81.31,81.23,3852889
2020-02-24,82.48,84.35,81.84,82.37,82.37,8297050
2020-02-25,83.9,84.99,83.14,84.13,84.07,10749181
2020-02-26,85.48,85.85,84.85,85.77,85.67,8371858
2020-02-27,84.39,85.73,83.85,84.4,84.42,11266495
2020-02-28,84.43,84.63,81.85,83.94,83.96,2761201
2020-02-29,84.8,85.56,83.78,84.57,84.63,3337180
2020-03-01,86.12,88.14,83.72,86.28,86.25,4485862
2020-03-02,85.86,86.1,83.03,85.53,85.56,2400507
2020-03-03,84.06,87.44,82.59,85.28,85.32,14848744
2020-03-04,83.94,84.03,83.03,83.46,83.5,5235040
2020-03-05,80.82,82.19,79.86,81.53,81.46,6529554
2020-03-06,82.77,84.78,80.77,82.92,82.93,13792036
2020-03-07,84.76,86.1,83.77,85.23,85.26,8518162
2020-03-08,84.63,85.52,84.33,85.18,85.18,11953070
2020-03-09,87.46,88.46,85.47,86.96,86.78,8676431
2020-03-10,87.45,88.43,85.22,87.66,87.67,3757398
2020-03-11,86.74,88.95,84.51,86.59,86.79,1388742
2020-03-12,87.27,88.17,86.74,87.29,87.26,11710553
2020-03-13,90.26,92.41,88.2,90.04,89.98,10031519
2020-03-14,90.09,92.51,89.39,90.05,90.09,1676935
2020-03-15,92.35,94.2,91.67,92.94,92.97,11073732
2020-03-16,88.59,91.01,85.82,88.15,88.25,12511913
2020-03-17,89.44,90.74,88.71,89.67,89.55,14015771
2020-03-18,89.19,92.5,88.42,89.89,89.96,13461940
2020-03-19,89.24,89.75,89.15,89.43,89.48,8793604
2020-03-20,90.34,92.23,87.31,89.66,89.65,1401072
2020-03-21,86.54,87.86,84.1,86.17,86.2,7722841
2020-03-22,85.71,86.91,84.07,85.86,85.95,3095637
2020-03-23,86.39,88.22,84.43,86.54,86.62,3788302
2020-03-24,89.03,91.08,88.55,89.17,89.07,8843227
2020-03-25,89.24,89.34,87.06,88.32,88.39,6581472
2020-03-26,87.13,87.64,85.99,86.96,86.96,10344618
2020-03-27,86.34,88.21,85.84,86.16,86.16,12909910
2020-03-28,88.26,90.05,86.48,87.8,87.81,10131872
2020-03-29,88.56,91.13,86.0,88.45,88.44,9269841
2020-03-30,87.47,89.61,87.28,87.59,87.69,5859633
2020-03-31,88.47,91.08,87.63,88.55,88.55,5468852
2020-04-01,88.77,90.69,88.14,88.8,88.7,8742237
2020-04-02,90.57,91.46,89.86,90.59,90.55,7749977
2020-04-03,89.71,90.08,86.94,89.39,89.4,13299980
2020-04-04,88.9,91.0,87.58,88.87,88.98,1419503
2020-04-05,88.57,90.32,86.97,88.25,88.3,7488000
2020-04-06,85.7,85.94,83.73,85.74,85.66,8586544
2020-04-07,86.35,87.33,85.84,86.31,86.53,9318849
2020-04-08,85.96,89.33,84.66,86.83,86.86,12568496
2020-04-09,87.31,88.66,85.74,86.91,87.02,8608965
2020-04-10,86.72,87.9,84.99,86.57,86.56,1158253
2020-04-11,84.61,85.82,81.67,84.19,84.24,10058353
2020-04-12,82.34,84.14,80.42,83.55,83.62,9209061
2020-04-13,83.91,84.89,82.0,83.04,83.15,4211369
2020-04-14,81.72,82.74,79.68,81.78,81.86,2659537
2020-04-15,82.03,82.24,81.09,81.58,81.65,2279898
2020-04-16,81.88,84.22,81.72,82.3,82.28,3364840
2020-04-17,85.74,86.86,84.88,85.47,85.43,1771143
2020-04-18,85.39,87.97,84.46,85.84,85.87,7697947
2020-04-19,86.08,88.57,84.72,86.35,86.43,4906377
2020-04-20,87.12,87.74,84.67,86.29,86.27,13879606
2020-04-21,82.97,84.72,80.7,83.05,83.14,13374461
2020-04-22,83.16,84.39,81.76,83.07,83.19,2461433
2020-04-23,83.6,85.82,81.95,83.24,83.16,4348549
2020-04-24,87.62,88.26,87.19,87.41,87.33,10714933
2020-04-25,87.21,89.01,86.97,87.14,87.13,14079301
2020-04-26,87.9,89.53,86.25,87.74,87.76,11536473
2020-04-27,88.8,89.65,86.54,87.75,87.7,8753638
2020-04-28,85.74,86.19,83.57,85.76,85.88,6580427
2020-04-29,87.88,89.63,87.3,87.79,87.83,12330658
2020-04-30,89.65,91.66,89.03,89.18,89.19,2576845
2020-05-01,91.17,92.09,89.39,90.67,90.54,1988722
2020-05-02,89.62,91.38,88.39,89.09,88.97,3037398
2020-05-03,91.95,93.1,91.44,91.66,91.69,4527110
2020-05-04,88.65,91.1,86.7,89.16,88.97,5289639
2020-05-05,91.02,91.64,89.9,90.28,90.37,7398897
2020-05-06,93.77,96.84,92.02,94.31,94.29,2065560
2020-05-07,92.66,93.52,91.67,92.52,92.82,8989900
2020-05-08,91.2,92.61,90.65,91.54,91.75,8189204
2020-05-09,91.77,92.04,90.67,91.8,91.78,7707432
2020-05-10,91.1,91.48,88.74,90.95,90.94,9349065
2020-05-11,88.34,89.75,87.11,88.2,88.29,3754036
2020-05-12,88.58,89.35,86.38,88.39,88.54,7934198
2020-05-13,87.28,89.48,86.18,86.58,86.44,8389434
2020-05-14,87.67,87.8,85.43,87.47,87.32,1091656
2020-05-15,85.83,86.97,85.15,85.93,85.88,3162766
2020-05-16,89.09,90.06,86.84,88.67,88.72,1353153
2020-05-17,87.87,88.01,85.83,87.35,87.39,7724504
2020-05-18,86.32,87.26,83.91,86.86,86.95,4453708
2020-05-19,88.6,89.75,87.26,88.34,88.23,13518585
2020-05-20,86.54,87.86,85.98,86.23,86.04,5101153
2020-05-21,86.57,87.8,86.43,86.7,86.77,1987938
2020-05-22,89.64,91.11,86.81,89.03,88.96,8074533
2020-05-23,86.18,87.82,84.78,86.24,86.07,14518978
2020-05-24,86.68,86.79,84.59,86.63,86.64,10370622
2020-05-25,87.07,88.41,86.39,87.15,87.22,4801065
2020-05-26,88.59,91.15,87.61,88.58,88.57,1862839
2020-05-27,85.99,87.85,85.82,86.46,86.42,11070853
2020-05-28,83.64,85.99,81.22,84.25,84.23,2064367
2020-05-29,85.87,86.73,83.46,85.19,85.16,10495231
2020-05-30,85.4,87.78,83.01,85.77,85.65,1234898
2020-05-31,85.84,88.28,85.09,86.26,86.2,1461122
2020-06-01,86.0,88.33,84.38,86.93,86.98,1675025
2020-06-02,85.54,88.33,83.78,85.82,85.85,5264550
2020-06-03,85.72,86.69,84.84,86.29,86.3,8536968
2020-06-04,87.57,87.7,84.64,86.86,86.77,13498291
2020-06-05,86.12,88.13,83.25,85.69,85.67,6477835
2020-06-06,88.65,91.13,86.29,88.96,88.76,2605752
2020-06-07,90.88,91.29,87.85,89.87,89.89,12672157
2020-06-08,88.23,89.0,87.01,87.8,87.93,14153731
2020-06-09,88.88,89.16,88.06,89.02,88.89,1807040
2020-06-10,86.27,88.19,83.77,87.36,87.31,7634586
2020-06-11,89.82,91.93,88.69,88.8,88.83,5132443
2020-06-12,90.3,92.39,88.34,90.93,91.05,6232190
2020-06-13,88.78,90.51,86.87,89.51,89.47,11831900
2020-06-14,91.78,92.86,89.57,91.31,91.25,8920337
2020-06-15,93.26,93.36,89.4,92.14,91.96,13031499
2020-06-16,94.37,95.29,92.78,93.73,93.73,3154828
2020-06-17,97.63,99.56,96.3,97.36,97.55,6778728
2020-06-18,97.24,100.09,96.64,96.96,96.98,12981953
2020-06-19,95.98,98.43,94.25,95.57,95.57,6293348
2020-06-20,94.3,94.46,93.14,93.95,93.98,10421996
2020-06-21,92.62,95.13,91.48,92.49,92.49,3784975
2020-06-22,92.47,94.66,90.09,92.42,92.35,9371223
2020-06-23,93.1,95.33,90.48,93.13,93.2,12471970
2020-06-24,93.36,95.05,92.77,93.72,93.74,9840597
2020-06-25,95.21,96.54,94.08,95.34,95.34,10208163
2020-06-26,94.63,96.38,91.99,95.44,95.35,5859382
2020-06-27,98.25,98.58,97.97,98.29,98.42,5912301
2020-06-28,97.37,98.6,97.01,97.85,97.92,9126492
2020-06-29,102.68,104.1,102.1,103.25,103.2,4077026
2020-06-30,104.72,106.3,102.72,104.63,104.73,11533359
2020-07-01,103.63,105.98,102.37,102.92,102.87,1148469
2020-07-02,101.26,102.75,97.87,100.8,100.72,11726030
2020-07-03,101.05,102.12,99.64,101.85,101.77,5170555
2020-07-04,100.97,104.4,99.4,101.48,101.3,14699048
2020-07-05,103.49,106.42,102.17,103.01,103.05,1516394
2020-07-06,103.55,106.54,102.03,104.06,103.87,13162767
2020-07-07,103.88,107.09,101.78,104.0,103.87,3090825
2020-07-08,102.6,104.32,99.99,102.32,102.1,9908720
2020-07-09,98.82,102.17,96.56,99.3,99.29,4290303
2020-07-10,98.54,98.86,96.74,98.49,98.48,14686431
2020-07-11,99.59,101.42,96.88,100.26,100.22,8415871
2020-07-12,100.46,101.53,97.98,100.77,100.66,12092722
2020-07-13,98.49,99.15,96.08,98.34,98.22,12035393
2020-07-14,97.97,99.26,97.71,98.76,98.8,14880983
2020-07-15,99.82,101.72,99.48,99.6,99.54,14681878
2020-07-16,97.91,100.23,97.2,97.92,97.95,9090433
2020-07-17,98.57,100.32,96.31,98.29,98.21,3418853
2020-07-18,98.6,99.12,97.21,98.49,98.51,12468318
2020-07-19,96.97,99.35,95.09,96.32,96.44,6244786
2020-07-20,97.14,99.03,94.49,97.08,97.14,8249127
2020-07-21,98.04,99.45,95.39,98.25,98.21,9920857
2020-07-22,100.52,102.58,97.71,100.45,100.48,8197177
2020-07-23,102.93,103.81,101.62,102.65,102.63,5384077
2020-07-24,99.93,101.03,97.8,99.91,99.91,13925720
2020-07-25,98.13,100.84,97.24,98.11,98.08,2129775
2020-07-26,98.85,100.14,98.21,99.2,99.18,9125248
2020-07-27,99.97,101.77,99.33,100.3,100.32,3196916
2020-07-28,100.7,104.13,99.6,101.41,101.31,7241602
2020-07-29,110.27,112.64,107.84,109.31,109.2,2170933
2020-07-30,109.96,110.95,107.2,110.64,110.49,2391449
2020-07-31,112.85,113.84,112.35,113.25,113.06,3518929
2020-08-01,115.08,115.64,112.51,115.5,115.36,7604168
2020-08-02,117.62,119.89,115.17,117.09,117.11,12381541
2020-08-03,116.28,118.08,115.19,116.45,116.35,1859734
2020-08-04,119.05,119.63,116.5,118.31,118.37,6207188
2020-08-05,116.18,119.93,115.06,116.58,116.58,11056440
2020-08-06,116.28,118.18,113.99,116.12,115.89,11646336
2020-08-07,114.6,116.01,113.05,115.08,115.16,9242580
2020-08-08,116.6,118.41,114.7,115.36,115.46,2872154
2020-08-09,120.08,123.3,119.55,120.8,120.68,8904617
2020-08-10,116.56,116.94,114.42,116.38,116.43,12096442
2020-08-11,118.45,119.51,114.86,118.07,117.97,1913605
2020-08-12,114.6,117.39,113.1,114.36,114.37,4009526
2020-08-13,113.27,115.0,110.74,113.37,113.23,10899007
2020-08-14,115.86,117.88,113.53,115.93,115.72,9405547
2020-08-15,116.2,117.77,112.92,116.17,116.13,11929691
2020-08-16,113.68,114.02,110.86,113.76,113.75,13889516
2020-08-17,112.77,113.42,110.27,112.22,112.18,3032656
2020-08-18,115.1,116.7,111.56,113.84,113.7,7490750
2020-08-19,111.95,113.06,108.93,112.27,112.22,8221626
2020-08-20,112.07,113.12,110.66,112.84,112.87,7353575
2020-08-21,112.99,115.92,111.8,113.04,113.03,7982137
2020-08-22,113.09,116.43,111.51,111.65,111.67,13453619
2020-08-23,116.06,119.33,113.16,116.53,116.45,4289986
2020-08-24,119.07,122.14,115.24,118.1,118.24,6652555
2020-08-25,114.36,115.28,112.96,113.41,113.28,6198054
2020-08-26,113.61,117.21,111.6,113.93,113.98,10656011
2020-08-27,112.83,113.59,110.88,112.51,112.64,10704385
2020-08-28,115.45,118.75,114.01,114.52,114.57,8269623
2020-08-29,112.58,116.16,109.27,112.79,112.77,13732717
2020-08-30,112.51,115.06,111.7,112.63,112.57,2854165
2020-08-31,113.52,117.21,113.19,113.85,113.97,11636445
2020-09-01,115.33,117.95,113.22,115.92,115.75,1377224
2020-09-02,112.86,114.19,110.33,113.23,113.12,14062410
2020-09-03,111.87,114.1,111.65,112.56,112.51,14767748
2020-09-04,111.6,113.63,109.34,111.58,111.72,13821090
2020-09-05,109.79,110.55,107.98,110.21,110.25,5453722
2020-09-06,114.32,116.5,113.73,114.19,114.08,7321136
2020-09-07,114.31,118.6,113.62,115.21,115.17,9623041
2020-09-08,112.58,113.31,110.43,112.39,112.32,11414807
2020-09-09,115.02,117.78,113.45,114.55,114.47,1364446
2020-09-10,118.31,122.77,114.97,119.5,119.62,7759072
2020-09-11,122.29,125.76,119.04,122.06,121.9,1448934
2020-09-12,119.18,122.62,114.95,118.45,118.64,3657885
2020-09-13,116.69,119.29,115.69,117.4,117.5,6242029
2020-09-14,121.48,125.04,116.96,120.47,120.6,6772964
2020-09-15,119.11,121.84,117.25,118.86,118.8,11270834
2020-09-16,119.59,120.69,118.26,120.01,119.99,6644219
2020-09-17,121.93,123.77,121.63,121.96,121.79,7955038
2020-09-18,120.14,122.76,119.5,119.8,119.74,12296266
2020-09-19,119.8,120.78,117.23,119.75,119.81,11466646
2020-09-20,112.39,114.59,110.49,112.09,112.23,10860225
2020-09-21,109.37,112.11,108.55,109.88,109.76,10211879
2020-09-22,109.51,110.13,107.36,109.41,109.37,2942120
2020-09-23,106.02,108.63,105.13,106.77,106.75,12399706
2020-09-24,110.28,112.92,108.32,110.34,110.19,12078370
2020-09-25,106.79,108.93,105.57,107.27,107.34,12328513
2020-09-26,106.02,106.56,103.39,106.42,106.34,9094566
2020-09-27,107.44,107.57,104.13,106.78,106.76,8311460
2020-09-28,110.54,111.8,108.31,109.94,109.89,11071572
2020-09-29,107.2,110.19,105.68,106.87,106.79,8863353
2020-09-30,108.85,110.28,107.59,109.44,109.44,7710660
2020-10-01,109.38,111.68,106.72,109.55,109.53,1821939
2020-10-02,108.14,108.95,106.36,107.49,107.45,13682156
2020-10-03,108.65,109.77,107.8,108.57,108.49,4637588
2020-10-04,110.36,113.18,108.71,109.09,109.13,11873692
2020-10-05,108.08,110.47,106.3,107.87,108.05,12891731
2020-10-06,108.21,108.62,106.49,108.11,108.12,13344574
2020-10-07,107.19,108.8,104.47,107.36,107.47,8470396
2020-10-08,107.76,107.96,106.89,107.69,107.54,9163365
2020-10-09,109.12,110.83,107.8,109.2,109.22,4614705
2020-10-10,113.15,115.44,110.0,112.75,112.63,3500120
2020-10-11,110.58,111.07,107.31,110.05,109.89,14831553
2020-10-12,114.38,115.91,112.99,114.83,114.75,14575193
2020-10-13,109.71,111.83,108.14,110.44,110.57,4932613
2020-10-14,109.18,113.24,108.11,110.19,110.3,14444776
2020-10-15,111.86,115.2,108.45,111.58,111.61,5055032
2020-10-16,111.68,112.55,111.18,112.3,112.12,13145986
2020-10-17,109.79,113.55,106.71,110.99,110.97,6881344
2020-10-18,110.83,112.13,108.31,110.61,110.65,3196274
2020-10-19,110.98,112.35,107.81,109.61,109.63,3429700
2020-10-20,108.4,110.89,108.19,108.41,108.21,6586956
2020-10-21,110.8,113.86,108.7,110.34,110.24,10010066
2020-10-22,111.26,114.44,109.79,111.21,111.21,10920047
2020-10-23,109.71,111.71,109.08,109.76,109.82,5096920
2020-10-24,112.34,113.61,109.58,111.82,111.58,8557944
2020-10-25,112.44,115.28,109.16,112.6,112.58,7015346
2020-10-26,114.67,115.62,112.54,114.52,114.54,11462498
2020-10-27,116.24,118.26,113.53,116.05,116.15,12770187
2020-10-28,113.84,115.52,113.5,114.22,114.3,4501661
2020-10-29,113.6,115.87,111.55,113.03,113.1,12106564
2020-10-30,114.71,115.73,114.21,114.81,114.72,13453857
2020-10-31,115.87,117.07,113.69,116.31,116.09,8872277
2020-11-01,116.66,119.89,113.07,116.35,116.31,3604902
2020-11-02,116.19,117.18,113.85,116.72,116.84,14739212
2020-11-03,119.81,121.69,119.41,119.79,119.96,1398008
2020-11-04,118.47,119.35,117.13,118.47,118.56,13507822
2020-11-05,120.51,120.77,117.83,119.86,119.92,10712565
2020-11-06,119.76,120.0,117.96,119.47,119.52,7080898
2020-11-07,119.04,119.77,116.04,119.05,118.98,6193595
2020-11-08,122.26,125.45,118.76,121.76,121.75,11242868
2020-11-09,124.73,125.88,121.55,123.87,124.08,4549651
2020-11-10,126.34,129.94,124.49,125.98,125.86,9029598
2020-11-11,129.38,131.69,128.29,129.37,129.58,8867863
2020-11-12,128.68,131.3,128.16,129.53,129.49,3796647
2020-11-13,130.7,133.74,129.23,131.4,131.58,14614240
2020-11-14,130.49,132.78,128.8,130.69,130.51,6802199
2020-11-15,131.24,134.67,128.54,131.64,131.72,1174001
2020-11-16,131.28,132.61,128.65,131.41,131.31,6570771
2020-11-17,131.8,133.28,131.37,131.77,131.58,11803215
2020-11-18,133.79,137.4,131.78,133.44,133.47,13295027
2020-11-19,131.32,135.1,130.49,131.36,131.5,1065867
2020-11-20,137.3,140.99,136.21,136.97,136.85,1088780
2020-11-21,134.36,136.13,130.96,134.32,134.12,8397228
2020-11-22,129.87,134.26,129.58,131.17,131.15,3695145
2020-11-23,133.68,136.3,131.92,134.31,134.3,3941478
2020-11-24,136.44,138.65,135.64,136.54,136.62,10262680
2020-11-25,137.52,139.32,133.87,138.36,138.49,7792109
2020-11-26,140.63,143.18,137.8,140.2,140.2,4767263
2020-11-27,141.36,142.26,139.2,140.28,140.54,13238589
2020-11-28,138.72,140.19,135.73,137.88,137.91,5195031
2020-11-29,138.05,141.76,134.98,138.2,138.15,5084591
2020-11-30,137.45,138.42,132.51,136.44,136.22,10407659
2020-12-01,139.31,139.74,138.18,139.21,139.17,2414119
2020-12-02,138.67,139.32,134.97,138.91,138.86,6354993
2020-12-03,136.31,140.59,132.48,136.73,136.86,2268182
2020-12-04,135.75,138.09,132.01,135.96,136.02,13462769
2020-12-05,136.92,138.95,134.26,137.19,137.03,9779340
2020-12-06,135.87,139.2,133.14,135.75,135.77,3570746
2020-12-07,133.73,137.11,131.93,133.63,133.72,3251743
2020-12-08,134.39,135.82,131.32,134.39,134.59,7194702
2020-12-09,135.45,138.31,132.93,135.15,135.27,14837091
2020-12-10,134.69,137.83,131.12,133.89,133.99,13414960
2020-12-11,133.36,136.03,130.95,132.73,132.74,11664766
2020-12-12,132.47,134.18,129.52,133.46,133.51,4120452
2020-12-13,128.04,133.12,124.85,129.7,129.86,6615829
2020-12-14,126.74,128.85,125.49,126.15,125.98,12694248
2020-12-15,123.59,125.58,120.48,124.44,124.4,7147401
2020-12-16,123.87,125.66,121.8,124.01,123.91,12099415
2020-12-17,124.15,125.14,120.98,124.88,124.93,7304721
2020-12-18,127.5,129.27,125.78,128.66,128.82,8738672
2020-12-19,131.33,134.37,129.4,130.97,130.89,10851025
2020-12-20,131.15,131.29,127.06,130.66,130.35,7615492
2020-12-21,130.34,132.42,129.26,130.71,130.66,10064507
2020-12-22,126.54,130.27,123.31,128.2,128.31,1318774
2020-12-23,127.9,128.58,125.98,128.25,128.32,8561743
2020-12-24,127.86,131.6,125.58,127.61,127.67,9875234
2020-12-25,127.59,129.51,126.32,128.54,128.5,4023871
2020-12-26,126.63,127.88,124.29,126.52,126.35,5849617
2020-12-27,127.92,129.19,126.59,127.93,128.0,1611868
2020-12-28,132.34,133.35,131.67,131.96,131.85,5533910
2020-12-29,131.85,131.99,130.6,131.77,132.06,7929140
2020-12-30,132.29,135.88,132.13,132.94,133.01,2407757
2020-12-31,135.69,139.63,130.92,134.88,134.8,14726798
2021-01-01,133.8,134.91,129.92,133.91,133.82,10593264
2021-01-02,134.59,137.34,132.92,134.61,134.6,4456800
2021-01-03,134.13,137.79,131.16,134.75,134.72,10127064
2021-01-04,134.83,138.59,133.34,135.13,135.28,2138452
2021-01-05,132.56,134.91,129.84,133.14,133.17,12035024
2021-01-06,133.2,134.62,129.96,133.32,133.22,9109334
2021-01-07,135.9,137.32,130.92,134.75,135.01,8727160
2021-01-08,137.82,141.78,136.08,138.77,138.78,10071594
2021-01-09,140.4,145.04,137.07,141.54,141.65,5554704
2021-01-10,148.84,149.77,146.46,147.75,147.66,14994169
2021-01-11,145.45,147.31,141.13,145.6,145.65,3288013
2021-01-12,147.76,152.28,147.5,148.26,148.3,9262236
2021-01-13,149.7,153.35,146.17,148.92,148.64,11156189
2021-01-14,155.09,160.16,151.97,155.56,155.88,3348818
2021-01-15,154.57,158.11,149.96,153.17,153.37,4415398
2021-01-16,151.23,153.11,150.04,150.72,150.66,5822455
2021-01-17,148.67,151.74,144.48,149.04,148.87,14539916
2021-01-18,144.36,147.28,141.93,142.82,142.87,4344849
2021-01-19,141.01,141.9,138.32,141.44,141.45,9724118
2021-01-20,139.92,142.27,138.36,139.4,139.45,12483581
2021-01-21,140.14,143.17,138.55,139.93,139.96,14035245
2021-01-22,141.92,142.75,138.63,141.0,141.07,4201824
2021-01-23,147.55,151.04,144.49,146.41,146.62,6051921
2021-01-24,149.33,152.01,148.46,149.31,149.39,9438856
2021-01-25,147.15,151.93,146.27,147.7,147.55,6448608
2021-01-26,145.5,145.82,143.26,145.17,145.36,5065183
2021-01-27,146.21,147.99,142.86,146.71,146.95,11565648
2021-01-28,144.39,147.06,139.09,142.95,143.4,1240346
2021-01-29,148.41,149.83,147.79,148.3,148.14,10007429
2021-01-30,151.64,155.22,149.76,151.92,151.96,5236258
2021-01-31,150.76,154.23,150.03,150.62,150.3,13934775
2021-02-01,144.6,146.16,144.38,145.58,145.66,10052772
2021-02-02,148.91,152.02,145.9,149.64,149.55,2796641
2021-02-03,150.31,152.68,146.65,149.41,149.7,9651347
2021-02-04,152.73,155.03,151.85,153.23,153.11,12826072
2021-02-05,147.69,152.63,146.54,148.47,148.22,6807811
2021-02-06,147.2,150.88,146.56,146.81,146.74,8594825
2021-02-07,147.81,150.95,143.23,146.94,146.65,3421961
2021-02-08,147.72,150.93,142.89,147.2,147.31,1268116
2021-02-09,146.71,148.83,145.27,145.99,145.69,4423754
2021-02-10,147.36,152.02,146.23,147.92,147.93,2770330
2021-02-11,143.85,147.95,140.09,144.88,144.58,5658575
2021-02-12,145.67,148.9,140.56,144.59,144.54,4824857
2021-02-13,144.82,148.82,142.91,145.05,145.29,12035068
2021-02-14,146.47,147.97,146.11,146.66,146.71,9753373
2021-02-15,149.85,153.51,148.54,148.86,148.73,11308990
2021-02-16,146.04,147.01,143.06,145.63,145.63,1012879
2021-02-17,141.6,143.16,139.53,141.28,141.28,9946694
2021-02-18,146.57,148.15,144.74,145.01,145.07,13166415
2021-02-19,145.61,150.38,143.01,146.08,145.89,10920226
2021-02-20,144.68,148.42,143.82,144.01,144.1,5895737
2021-02-21,148.64,151.81,145.06,148.6,148.2,6580815
2021-02-22,149.26,152.56,147.59,149.06,148.97,4999143
2021-02-23,153.86,156.52,152.36,152.7,152.62,5682251
2021-02-24,153.41,157.78,150.26,153.02,153.12,7949666
2021-02-25,159.88,162.34,157.45,159.45,159.46,9548080
2021-02-26,166.06,168.06,160.35,165.18,164.95,3091028
2021-02-27,164.19,165.43,161.43,164.49,164.33,3895537
2021-02-28,167.11,171.81,165.61,167.82,167.85,3727850
2021-03-01,169.23,173.91,165.58,170.12,170.1,11086627
2021-03-02,173.19,177.03,171.65,174.91,174.81,4300335
2021-03-03,173.44,173.74,167.0,171.67,171.59,2779472
2021-03-04,173.21,178.58,171.15,174.17,174.29,4613983
2021-03-05,177.8,178.23,174.78,177.99,177.9,6495592
2021-03-06,171.64,175.55,171.21,171.87,171.86,7110341
2021-03-07,168.2,173.1,165.7,167.94,168.31,4149783
2021-03-08,161.89,164.1,157.18,161.23,161.0,11786074
2021-03-09,161.18,162.44,156.58,160.49,160.19,8334291
2021-03-10,162.45,166.41,161.23,162.92,163.05,3326168
2021-03-11,167.81,172.09,166.54,167.95,167.83,13297281
2021-03-12,168.57,171.41,164.17,168.33,168.28,11323592
2021-03-13,173.73,179.0,168.87,173.95,173.81,10727579
2021-03-14,170.65,171.07,168.65,169.29,169.24,7951740
2021-03-15,164.06,166.62,161.35,163.65,163.91,14679525
2021-03-16,164.2,167.79,161.84,163.6,163.73,5141314
2021-03-17,165.54,169.84,160.66,164.99,165.13,5286419
2021-03-18,165.98,167.01,164.45,165.01,164.78,11426309
2021-03-19,158.47,162.3,157.2,158.32,158.14,5010086
2021-03-20,157.14,160.86,153.56,158.17,157.72,13006368
2021-03-21,154.48,156.41,153.78,154.17,154.04,1482870
2021-03-22,155.85,157.11,153.46,156.36,156.51,6313280
2021-03-23,157.21,161.74,155.04,157.63,157.71,8963845
2021-03-24,155.24,156.11,153.13,154.79,154.76,13946220
2021-03-25,154.27,155.81,151.42,153.32,153.32,6991342
